,city,country,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
176,Vila Velha,BR,-20.3297,-40.2925,71.55,71.55,8.05,75,83
177,Ambulu,ID,-8.345,113.6058,72.25,72.25,3.65,45,90
178,Nishihara,JP,26.1842,127.7558,80.31,80.65,6.91,40,95
179,Mossamedes,AO,-15.1961,12.1522,65.75,65.75,6.67,14,92
180,Bonavista,CA,48.6499,-53.1147,80.6,80.6,14.79,74,88
181,São Filipe,CV,14.8961,-24.4956,76.91,76.91,1.61,95,82
182,Agadez,NE,19.75,10.25,93.76,93.76,6.58,99,15
183,Boshnyakovo,RU,49.6333,142.1667,54.99,54.99,6.17,72,80
184,Te Anau,NZ,-45.4167,167.7167,46.31,46.31,10.83,86,87
185,Zhaodong,CN,46.0833,125.9833,59.02,59.02,2.86,22,91
186,Salalah,OM,17.0151,54.0924,78.89,78.89,3.44,90,89
187,Saint Anthony,US,45.0205,-93.218,85.39,88.18,3,1,34
189,Bethel,US,41.3712,-73.414,79.68,83.62,4.61,1,50
190,Quatre Cocos,MU,-20.2078,57.7625,64.09,68.11,13.69,100,68
191,Conceição do Araguaia,BR,-8.2578,-49.2647,96.93,96.93,5.75,0,16
192,Shingū,JP,33.7333,135.9833,76.91,76.91,4.72,99,95
193,Nelson Bay,AU,-32.7167,152.15,47.26,55.76,16.51,0,75
194,Redmond,US,47.674,-122.1215,83.79,92.98,1.01,44,53
195,Grand Gaube,MU,-20.0064,57.6608,64.38,68.4,1.99,82,79
197,Kuvshinovo,RU,57.0295,34.1725,60.48,60.48,5.46,98,80
198,Honiara,SB,-9.4333,159.95,77.02,77.02,7.96,92,89
199,Pervomayskiy,RU,53.2485,40.2871,66.83,66.83,5.5,52,52
200,Lázaro Cárdenas,MX,17.9583,-102.2,86.65,86.65,7.29,33,69
201,Boyuibe,BO,-20.4167,-63.2833,80.51,80.51,7.18,41,24
202,Chālūs,IR,36.655,51.4204,76.46,76.46,2.3,20,78
203,Bambous Virieux,MU,-20.3428,57.7575,68.25,68.25,12.66,40,68
204,Teknāf,BD,20.8624,92.3058,78.66,78.66,9.22,100,91
205,Clyde River,CA,70.4692,-68.5914,45.16,45.16,2.17,96,78
206,Laguna,US,38.421,-121.4238,89.28,102.63,5.75,1,37
207,Maués,BR,-3.3836,-57.7186,83.82,83.82,1.28,90,67
208,Aklavik,CA,68.2191,-135.0107,58.03,58.03,7.63,100,49
209,Iracoubo,GF,5.4802,-53.2011,75.36,75.36,9.28,100,84
210,Buin,CL,-33.7333,-70.75,54.09,55.72,4.5,100,57
211,Kamuli,UG,0.9472,33.1197,63.66,63.66,1.61,61,78
213,Yulara,AU,-25.2406,130.9889,51.64,51.64,5.75,40,40
214,Baringo,KE,0.4667,35.9667,68.41,68.41,9.01,71,70
215,Daye,CN,30.0833,114.95,74.08,74.08,1.07,99,95
216,Esperance,AU,-33.8667,121.9,48.04,48.04,7.94,0,88
217,Erenhot,CN,43.6475,111.9767,69.98,69.98,7.25,0,57
218,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.04,60.04,4.5,70,88
219,Carnarvon,AU,-24.8667,113.6333,57.27,57.27,5.75,75,53
220,Ol'ga,RU,43.7444,135.2892,55.81,55.81,2.48,43,92
221,Ostrovnoy,RU,68.0531,39.5131,54.09,54.09,6.2,100,97
222,Ljungby,SE,56.8332,13.9408,58.5,59.41,5.55,90,87
223,Puerto Escondido,MX,15.85,-97.0667,88.63,88.63,5.75,40,58
224,Sompeta,IN,18.9333,84.6,82.18,82.18,3.96,68,82
225,Novobirilyussy,RU,56.9514,90.6661,57.04,57.04,3.49,53,70
226,Sitka,US,57.0531,-135.33,53.49,53.49,0,75,82
227,Câmara de Lobos,PT,32.6333,-16.9667,84.83,84.83,23.02,20,13
228,Pangody,RU,65.85,74.4859,50.58,50.58,14.07,60,82
229,Kyabé,TD,9.4515,18.9449,73.78,73.78,0.63,79,93
230,Rapid Valley,US,44.0625,-103.1463,95.31,97.57,3,1,17
231,Tomatlán,MX,19.9333,-105.25,91.02,91.02,7.78,92,60
232,Uyuni,BO,-20.4597,-66.825,49.69,49.69,11.68,2,10
233,Pevek,RU,69.7008,170.3133,32.7,32.7,4.25,100,97
234,Kashgar,CN,39.4547,75.9797,69.01,69.01,4.47,99,28
235,Irondequoit,US,43.2134,-77.5797,72.84,76.12,3,75,59
236,Torbay,CA,47.6666,-52.7314,78.75,79.75,12.66,75,77
237,Bajos de Haina,DO,18.4154,-70.0332,82.94,84.13,0,75,82
238,Nekrasovskoye,RU,57.6766,40.3657,67.89,67.89,6.71,0,68
239,Padang,ID,-0.9492,100.3543,77.32,77.32,3.74,98,86
240,Weligama,LK,5.9667,80.4167,77.72,77.72,12.62,100,87
241,Kawalu,ID,-7.3817,108.2082,71.64,71.64,1.95,91,97
242,Nanortalik,GL,60.1432,-45.2371,48.79,48.79,10.83,100,96
243,Birao,CF,10.2849,22.7882,71.87,71.87,2.37,63,91
244,Borovskoy,KZ,53.8,64.15,71.69,71.69,7.34,98,56
245,Los Llanos de Aridane,ES,28.6585,-17.9182,73.15,73.15,17.27,0,78
246,Makakilo City,US,21.3469,-158.0858,82.47,82.72,12.66,75,56
248,Port Hawkesbury,CA,45.6169,-61.3485,77.92,81.43,5.01,1,73
249,Açucena,BR,-19.0731,-42.5464,79.32,79.32,4.14,14,57
250,Nyurba,RU,63.2842,118.3319,52.32,52.32,5.46,97,94
251,Ndago,TZ,-4.6,34.35,66.36,66.36,13.73,79,46
252,Kloulklubed,PW,7.0419,134.2556,77.5,77.5,9.98,51,73
254,Vila Franca do Campo,PT,37.7167,-25.4333,75.61,75.61,8.03,24,93
255,Balkhash,KZ,46.844,74.9804,62.98,62.98,12.26,96,60
256,Cidreira,BR,-30.1811,-50.2056,58.19,58.19,5.68,45,95
258,La Crosse,US,43.8014,-91.2396,81.01,82.42,5.01,1,47
259,Zyryanka,RU,65.75,150.85,51.12,51.12,3.06,100,59
260,Matagami,CA,49.7502,-77.6328,73.51,73.51,16.11,1,40
261,Xining,CN,36.6167,101.7667,54.75,54.75,1.97,13,80
262,Kiryat Gat,IL,31.61,34.7642,77.29,81.28,3.67,0,100
263,Havelock,US,34.8791,-76.9013,86.67,89.94,5.01,20,81
264,Port Lincoln,AU,-34.7333,135.8667,55.06,55.06,9.28,100,69
265,Qaqortoq,GL,60.7167,-46.0333,61.3,61.3,9.91,100,97
266,Quimper,FR,48,-4.1,61.38,61.63,11.5,75,94
267,Tabou,CI,4.423,-7.3528,76.24,76.24,8.84,28,73
268,Bhādāsar,IN,28.2833,74.3167,91.6,91.6,7.9,5,39
269,Homer,US,59.6425,-151.5483,54.77,57.07,8.05,1,77
270,Katobu,ID,-4.9408,122.5276,73.15,73.15,2.91,12,95
271,Dalby,AU,-27.1833,151.2667,43.5,43.5,6.53,12,73
272,Great Falls,US,47.5002,-111.3008,93.74,95.92,17.27,1,16
273,Biltine,TD,14.5333,20.9167,76.95,76.95,7.16,98,65
274,Jamestown,US,42.097,-79.2353,73.36,78.3,6.91,1,49
275,Malanje,AO,-9.5402,16.341,75.18,75.18,5.32,86,46
276,Dhidhdhoo,MV,6.8833,73.1,81.82,81.82,16.71,99,77
278,Flinders,AU,-34.5833,150.8552,57.63,58.17,7,0,46
279,Yeppoon,AU,-23.1333,150.7333,56.98,56.98,6.17,34,86
280,Mtwara,TZ,-10.2667,40.1833,71.92,71.92,11.43,0,85
281,Potiskum,NG,11.7091,11.0694,77.49,77.49,6.73,100,78
282,Bashtanka,UA,47.4072,32.4387,67.68,67.68,5.41,19,40
283,Caborca,MX,30.5838,-111.101,87.49,87.49,4.05,94,45
284,Duyun,CN,26.2667,107.5167,69.67,69.67,1.95,100,100
285,Abu Samrah,SY,35.3029,37.1841,77.97,77.97,12.35,0,48
286,Tanem,NO,63.3078,10.4319,50.14,53.49,2.17,100,93
287,Severodvinsk,RU,64.5635,39.8302,59.11,59.11,10.49,85,94
288,Yaring,TH,6.8662,101.3689,78.67,78.67,3.42,100,82
289,Khatanga,RU,71.9667,102.5,55.83,55.83,14.47,100,57
290,Hay River,CA,60.8156,-115.7999,60.78,60.78,10.36,75,77
291,Longhua,CN,23.6137,114.1919,76.06,76.06,0.51,98,97
292,Bilma,NE,18.6853,12.9164,94.78,94.78,7.7,22,28
293,Coremas,BR,-7.0144,-37.9458,85.93,85.93,14.45,78,37
294,Pemangkat,ID,1.1667,108.9667,76.3,76.3,3.98,83,87
295,Mount Kisco,US,41.2043,-73.7271,80.02,84.9,1.01,20,47
296,Thompson,CA,55.7435,-97.8558,77.16,77.16,24.16,40,36
297,Sept-Îles,CA,50.2001,-66.3821,72.48,73.92,8.99,75,57
298,Souillac,MU,-20.5167,57.5167,68.38,68.38,12.66,40,68
299,Tallahassee,US,30.4383,-84.2807,84.43,88,4,90,81
300,Faya,SA,18.3851,42.4509,68.52,69.91,3.47,100,62
301,Coahuayana Viejo,MX,18.7333,-103.6833,90.88,90.88,6.82,36,61
302,Punta de Bombón,PE,-17.1717,-71.7931,61.12,61.12,8.63,80,79
303,Diofior,SN,14.1833,-16.6667,81.52,81.52,8.43,100,76
304,Korla,CN,41.7597,86.1469,72.97,72.97,2.26,100,41
305,Camopi,GF,3.1655,-52.3158,80.65,80.65,3.67,31,74
306,Ust'-Ilimsk,RU,58.0006,102.6619,55.17,55.17,4.03,100,86
307,Katsuura,JP,35.1333,140.3,68.02,68.11,13.27,100,95
308,Vao,NC,-22.6667,167.4833,68.74,68.74,18.23,92,63
309,Tavricheskoye,RU,54.5851,73.6395,60.71,60.71,5.1,38,60
310,Palmares do Sul,BR,-30.2578,-50.5097,60.3,60.3,4.38,17,86
311,Pandan,PH,14.0453,124.1694,78.01,78.01,1.41,93,84
312,Sonāmura,IN,23.4719,91.2664,78.24,78.24,6.76,100,96
313,Kilindoni,TZ,-7.9139,39.6668,76.12,76.12,17.96,5,78
314,Soubre,CI,5.7856,-6.6083,72.7,72.7,4.65,48,81
315,Coyhaique,CL,-45.5752,-72.0662,47.01,47.01,4.65,100,80
316,Geraldton,AU,-28.7667,114.6,59.41,59.41,16.11,0,38
317,George Town,MY,5.4112,100.3354,78.13,78.89,0,20,90
318,Sena Madureira,BR,-9.0656,-68.6569,97.18,97.18,1.36,5,23
320,Leszno,PL,51.8403,16.5749,66.6,66.61,5.61,97,58
322,Bilibino,RU,68.0546,166.4372,40.78,40.78,2.46,100,92
323,Tumbes,PE,-3.5667,-80.4414,76.95,76.95,10.36,75,73
324,Rovnoye,RU,50.7765,46.0509,74.39,74.39,1.72,99,36
325,Chropyně,CZ,49.3564,17.3645,73.9,75.16,2.08,69,78
326,Maryville,US,35.7565,-83.9705,83.1,88.14,12.66,90,72
327,Marsá Maţrūḩ,EG,31.3525,27.2453,79,79,6.91,0,73
328,Ipixuna,BR,-1.7625,-48.8043,85.95,85.95,3.96,98,82
329,Yuancheng,CN,36.652,107.7896,62.01,62.01,5.17,97,92
330,Guerrero Negro,MX,27.9769,-114.0611,80.55,80.55,15.37,6,57
331,Kysyl-Syr,RU,63.8986,122.7617,49.8,49.8,3.02,100,83
332,Kinshasa,CD,-4.3246,15.3215,84.58,86.32,5.75,40,61
334,Ilulissat,GL,69.2167,-51.1,44.62,44.62,8.05,75,93
335,Bria,CF,6.5423,21.9863,68.54,68.54,2.77,100,99
336,Kutum,SD,14.2,24.6667,77.14,77.14,5.3,76,60
337,Imbituba,BR,-28.24,-48.6703,67.89,67.89,5.95,27,96
338,Bundaberg,AU,-24.85,152.35,60.22,60.22,5.75,40,97
339,Bubaque,GW,11.2833,-15.8333,78.17,78.17,8.84,100,82
340,Meulaboh,ID,4.1363,96.1285,75.36,75.36,8.41,100,89
341,Karatsu,JP,33.4425,129.9697,73.29,73.29,2.8,100,96
342,Khabary,RU,53.6259,79.5345,58.3,58.3,3,43,65
343,Salinópolis,BR,-0.6136,-47.3561,79.18,79.18,7.99,43,84
344,Jijila,RO,45.3,28.15,70.05,70.05,6.64,0,60
345,Mattru,SL,7.6244,-11.8332,73.51,73.51,2.77,100,92
346,Chicla,PE,-11.705,-76.2686,48.6,48.6,7.72,88,64
347,Barinas,VE,8.6226,-70.2075,87.84,87.84,10.36,69,58
348,Lebedinyy,RU,58.5167,125.5167,61.23,61.23,11.34,14,68
349,Lompoc,US,34.6391,-120.4579,72.48,90.01,14.97,1,75
350,Chui,UY,-33.6971,-53.4616,56.28,56.28,4.34,38,94
351,Harindānga,IN,22.0383,88.3214,85.98,85.98,5.66,100,85
352,Talnakh,RU,69.4865,88.3972,54.86,54.86,15.08,100,96
353,Kavaratti,IN,10.5669,72.642,80.51,80.51,18.28,94,81
354,Krasnoarmeysk,RU,51.0239,45.6969,70.07,75.15,3.51,97,29
355,Grindavik,IS,63.8424,-22.4338,52.14,52.27,9.22,75,100
357,Lamu,KE,-2.2717,40.902,77.22,77.22,15.7,14,82
358,Jiexiu,CN,37.0244,111.9125,66.61,66.61,3.29,1,79
359,Lahaina,US,20.8783,-156.6825,80.6,82.4,6.53,3,68
360,Poanas,MX,25.7667,-103.6167,89.92,91.33,7.96,25,33
361,Anderson,US,34.5334,-82.6499,83.32,87.17,1.01,1,73
362,Mitsamiouli,KM,-11.3847,43.2844,77.04,77.04,5.82,7,71
363,Riyadh,SA,24.6877,46.7219,95.14,95.14,8.5,8,16
365,Xam Nua,LA,20.4197,104.0439,66.2,66.2,2.26,100,98
366,Kahului,US,20.8947,-156.47,81,82.98,14.97,40,75
367,Cuauhtémoc,MX,28.4167,-106.8667,74.71,74.71,12.95,75,44
368,Junction City,US,39.0286,-96.8314,86.65,89.15,5.99,20,50
369,Faanui,PF,-16.4833,-151.75,79.03,79.03,12.15,10,72
370,Shelburne,CA,44.0787,-80.2041,73.06,75.85,3.96,1,38
372,Chaman,PK,30.9236,66.4512,77.02,77.02,4.21,0,14
373,Beaumont,US,30.0861,-94.1019,91.31,93.24,5.75,40,61
374,Pinega,RU,64.7001,43.3936,57.63,57.63,10.92,94,90
376,Pitimbu,BR,-7.4706,-34.8086,77.59,77.59,15.12,50,75
377,Yar-Sale,RU,66.8333,70.8333,49.95,49.95,14.92,83,78
378,Goderich,CA,43.7501,-81.7165,70.45,75.2,9.22,0,60
379,Coruripe,BR,-10.1256,-36.1756,72.32,72.32,9.28,86,79
380,Maniitsoq,GL,65.4167,-52.9,45.43,45.43,2.98,100,97
382,Huambo,AO,-12.7761,15.7392,63.64,63.64,1.21,52,26
383,Mokhsogollokh,RU,61.4681,128.9203,62.85,62.85,1.92,89,92
384,Mackay,AU,-21.15,149.2,66.18,66.18,9.22,90,88
385,Nadvoitsy,RU,63.8667,34.3167,54.07,54.07,8.41,92,95
386,Humberto de Campos,BR,-2.5983,-43.4611,77.76,77.76,6.22,72,82
387,Lüderitz,NA,-26.6481,15.1594,57.13,57.13,7.36,1,70
388,Ogbomosho,NG,8.133,4.25,77.18,77.18,4.92,100,96
389,Muisne,EC,0.6,-80.0333,76.84,76.84,12.08,88,79
390,Najrān,SA,17.4924,44.1277,88.45,88.45,3.29,94,18
392,Okha,RU,53.5739,142.9478,57.38,57.38,9.51,4,82
393,San Rafael,AR,-34.6177,-68.3301,65.17,65.17,7.25,92,18
395,Laas,IT,46.6166,10.7002,73.74,74.28,2.89,5,80
396,Khorramabad,IR,33.4878,48.3558,78.48,78.48,0.63,0,16
398,Araouane,ML,18.9048,-3.5265,98.83,98.83,8.16,63,26
399,Seoul,KR,37.5683,126.9778,72.46,76.44,5.75,0,73
400,Van,TR,38.4924,43.3831,69.15,69.15,2.3,20,43
401,Kavieng,PG,-2.5744,150.7967,81.95,81.95,10.42,95,76
402,Yenagoa,NG,4.9247,6.2642,75.33,75.33,3.78,86,91
403,Grand Baie,MU,-20.0182,57.5802,64.45,68.47,1.99,66,79
404,Qasigiannguit,GL,68.8193,-51.1922,44.85,44.85,7.85,98,87
405,Carutapera,BR,-1.195,-46.02,76.23,76.23,8.72,54,90
406,Jacksonville Beach,US,30.2947,-81.3931,86.23,89.06,4,1,69
